Place, Name, Time, Hometown, Prize Money
1, Mitch Seavey, 9d 7h 39m 56s, Seward Alaska, $50400.00
2, Aliy Zirkle, 9d 8h 3m 35s, Two Rivers Alaska, $47100.00
3, Jeff King, 9d 9h 21m 56s, Denali Alaska, $44000.00
4, Dallas Seavey, 9d 10h 20m 51s, Willow Alaska, $41100.00
5, Ray Redington Jr, 9d 11h 4m 54s, Wasilla Alaska, $38300.00
6, Nicolas Petit, 9d 11h 39m 13s, Girdwood Alaska, $35600.00
7, Joar Leifseth Ulsom, 9d 12h 34m 0s, Roros NORWAY, $33200.00
8, Jake Berkowitz, 9d 12h 34m 16s, Big Lake Alaska, $30800.00
9, Sonny Lindner, 9d 13h 11m 2s, Two Rivers Alaska, $28600.00
10, DeeDee Jonrowe, 9d 13h 24m 39s, Willow Alaska, $26500.00
11, Aaron Burmeister, 9d 14h 19m 2s, Nome Alaska, $24500.00
12, Ken Anderson, 9d 16h 9m 20s, Fairbanks Alaska, $22600.00
13, Peter Kaiser, 9d 17h 36m 34s, Bethel Alaska, $20800.00
14, Josh Cadzow, 9d 18h 7m 37s, Fort Yukon Alaska, $19100.00
15, Cim Smyth, 9d 19h 8m 22s, Big Lake Alaska, $17500.00
16, Paul Gebhardt, 9d 19h 9m 32s, Kasilof Alaska, $16000.00
17, Martin Buser, 9d 20h 1m 33s, Big Lake Alaska, $14600.00
18, Jessie Royer, 9d 20h 20m 15s, Darby MT, $13200.00
19, Lance Mackey, 9d 20h 52m 14s, Fairbanks Alaska, $11900.00
20, Ramey Smyth, 9d 20h 54m 56s, Willow Alaska, $10700.00
21, John Baker, 9d 21h 49m 16s, Kotzebue Alaska, $9600.00
22, Brent Sass, 9d 23h 24m 3s, Manley Hot Springs Alaska, $8500.00
23, Michael Williams Jr., 10d 1h 57m 30s, Akiak Alaska, $7500.00
24, Michelle Phillips, 10d 2h 22m 9s, Tagish YT  CANADA, $6500.00
25, Jessica Hendricks, 10d 4h 57m 49s, Two Rivers Alaska, $5600.00
26, Kelley Griffin, 10d 9h 47m 34s, Wasilla Alaska, $4700.00
27, Curt Perano, 10d 13h 21m 14s, Queenstown NEW ZEALAND, $3900.00
28, Matt Failor, 10d 13h 39m 46s, Big Lake Alaska, $3100.00
29, Linwood Fiedler, 10d 15h 0m 52s, Willow Alaska, $2400.00
30, Mike Ellis, 10d 16h 35m 13s, Two Rivers Alaska, $1700.00
31, Kelly Maixner, 10d 16h 57m 36s, Big Lake Alaska, $1049.00
32, Wade Marrs, 10d 17h 5m 18s, Wasilla Alaska, $1049.00
33, Allen Moore, 10d 18h 4m 21s, Two Rivers Alaska, $1049.00
34, Paige Drobny, 10d 18h 15m 54s, Fairbanks Alaska, $1049.00
35, Jim Lanier, 10d 21h 8m 46s, Chugiak Alaska, $1049.00
36, Richie Diehl, 10d 22h 32m 6s, Aniak Alaska, $1049.00
37, Travis Beals, 11d 1h 10m 51s, Seward Alaska, $1049.00
38, Justin Savidis, 11d 1h 12m 14s, Willow Alaska, $1049.00
39, Matt Giblin, 11d 1h 20m 51s, Sterling Alaska, $1049.00
40, Karin Hendrickson, 11d 1h 44m 48s, Wasilla Alaska, $1049.00
41, Aaron Peck, 11d 2h 9m 37s, Bezanson AB CANADA, $1049.00
42, Kristy Berington, 11d 7h 7m 17s, Kasilof Alaska, $1049.00
43, Anna Berington, 11d 7h 7m 55s, Kasilof Alaska, $1049.00
44, Jodi Bailey, 11d 7h 52m 2s, Chatanika Alaska, $1049.00
45, Mike Williams Sr., 12d 0h 35m 50s, Akiak Alaska, $1049.00
46, Gerald Sousa, 12d 2h 20m 14s, Talkeetna Alaska, $1049.00
47, Louie Ambrose, 12d 5h 18m 45s, St. Michael Alaska, $1049.00
48, Angie Taggart, 12d 8h 50m 3s, Ketchikan Alaska, $1049.00
49, Luan Ramos Marques, 12d 17h 8m 0s, Macae BRAZIL, $1049.00
50, Mikhail Telpin, 12d 19h 27m 39s, Yanrakkynot Chukotka RUSSIA, $1049.00
51, Cindy Gallea, 13d 2h 24m 13s, Wykoff MN, $1049.00
52, James Volek, 13d 9h 12m 53s, Big Lake Alaska, $1049.00
53, Bob Chlupach, 13d 14h 18m 40s, Willow Alaska, $1049.00
54, Christine Roalofs, 13d 22h 36m 8s, Anchorage Alaska, $1049.00